role,skills
Data Scientist,"python, sql, machine learning, statistics, pandas, data analysis, numpy, visualization"
DevOps Engineer,"aws, docker, kubernetes, ci/cd, linux, automation, terraform, monitoring"
Backend Developer,"java, python, sql, apis, databases, microservices, rest, system design"
Frontend Developer,"javascript, react, html, css, typescript, ui design, web design, accessibility"
Cloud Architect,"aws, azure, cloud computing, networking, security, terraform, automation, system design"
Machine Learning Engineer,"python, machine learning, deep learning, tensorflow, pytorch, mlops, data structures, statistics"
Cybersecurity Analyst,"security, networking, linux, encryption, penetration testing, risk assessment, monitoring, firewalls"
Database Administrator,"sql, databases, backup, performance tuning, data structures, linux, security, monitoring"
Mobile Developer,"java, kotlin, swift, mobile development, ui design, apis, android, ios"
QA Engineer,"testing, automation, python, ci/cd, debugging, test cases, quality assurance, selenium"
UI/UX Designer,"ui design, web design, figma, accessibility, prototyping, user research, css, html"
Game Developer,"c++, unity, game design, 3d modeling, physics, c#, graphics, animation"
Site Reliability Engineer,"linux, monitoring, automation, ci/cd, kubernetes, networking, incident response, scripting"
Data Engineer,"python, sql, etl, data pipelines, big data, spark, databases, cloud computing"
